permissions.slug,roles.name
dev.index,developer
dev.store,developer
dashboard.index,developer
menu.index,developer
menu.show,developer
menu.store,developer
menu.update,developer
menu.destroy,developer
permission.index,developer
permission.show,developer
role.index,developer
role.show,developer
role.store,developer
role.update,developer
role.destroy,developer
role.assign.permission,developer
user.index,developer
user.show,developer
user.store,developer
user.update,developer
user.destroy,developer
user.assign.role,developer
menu.index,administrator
